# state, county, place, combined rate (%)
AK,,Adak,4.0
AK,,Akiak,0.0
AK,,Akutan,0.0
AK,,Alakanuk,4.0
AK,,Alaska,0.0
AK,,Aleknagik,5.0
AK,,Allakaket,0.0
AK,,Ambler,3.0
AK,,Anaktuvuk Pass,0.0
AK,,Anchorage Borough,0.0
AK,,Anderson,0.0
AK,,Angoon,3.0
AK,,Aniak,2.0
AK,,Anvik,0.0
AK,,Atka,0.0
AK,,Atqasuk,0.0
AK,,Bethel,6.0
AK,,Bettles,0.0
AK,,Brevig Mission,3.0
AK,,Bristol Bay Borough,0.0
AK,,Buckland,6.0
AK,,Chefornak,2.0
AK,,Chevak,3.0
AK,,Chignik,2.0
AK,,Clarks Point,6.0
AK,,Clear Air Force Base,0.0
AK,,Coffman Cove,0.0
AK,,Cold Bay,0.0
AK,,Cordova,7.0
AK,,Craig,7.0
AK,,Deering,3.0
AK,,Delta Junction,0.0
AK,,Denali Borough,0.0
AK,,Dillingham,6.0
AK,,Eagle,0.0
AK,,Egegik,0.0
AK,,Ekwok,0.0
AK,,Elim,3.0
AK,,Emmonak,4.0
AK,,Fairbanks,0.0
AK,,Fairbanks N Star Brg,0.0
AK,,False Pass,3.0
AK,,Fort Wainwright,0.0
AK,,Fort Yukon,3.0
AK,,Galena,3.0
AK,,Gambell,3.0
AK,,Goodnews Bay,0.0
AK,,Grayling,0.0
AK,,Gustavus,3.0
AK,,Haines,7.0
AK,,Holy Cross,0.0
AK,,Homer,7.85
AK,,Hoonah,6.5
AK,,Hooper Bay,5.0
AK,,Houston,2.0
AK,,Hughes,0.0
AK,,Huslia,0.0
AK,,Hydaburg,6.0
AK,,Juneau,5.0
AK,,Kake,5.0
AK,,Kaktovik,0.0
AK,,Kaltag,0.0
AK,,Kenai,6.0
AK,,Kenai Peninsula,3.0
AK,,Ketchikan,8.0
AK,,Ketchikan Gateway,2.5
AK,,Kiana,3.0
AK,,King Cove,6.0
AK,,Kivalina,2.0
AK,,Klawock,6.5
AK,,Kobuk,3.0
AK,,Kodiak,7.0
AK,,Kodiak Island Borough,0.0
AK,,Kotlik,3.0
AK,,Kotzebue,6.0
AK,,Koyuk,3.0
AK,,Koyukuk,0.0
AK,,Kwethluk,5.0
AK,,Lake Peninsula Brg,0.0
AK,,Larsen Bay,3.0
AK,,Lower Kalskag,0.0
AK,,Manokotak,2.0
AK,,Marshall,4.0
AK,,Matanuska-Susitna Brg,0.0
AK,,Matanuska-Susitna Brg,3.0
AK,,Mekoryuk,4.0
AK,,Mountain Village,3.0
AK,,Napakiak,5.0
AK,,Nenana,4.0
AK,,New Stuyahok,0.0
AK,,Nightmute,2.0
AK,,Nikolai,0.0
AK,,Nome,6.0
AK,,Nondalton,3.0
AK,,Noorvik,4.0
AK,,North Pole,5.5
AK,,North Slope Borough,0.0
AK,,Northwest Arctic Brg,0.0
AK,,Nuiqsut,0.0
AK,,Nulato,0.0
AK,,Nunam Iqua,4.0
AK,,Nunapitchuk,4.0
AK,,Old Harbor,3.0
AK,,Ouzinkie,6.0
AK,,Palmer,4.0
AK,,Pelican,6.0
AK,,Petersburg Borough,6.0
AK,,Pilot Point,0.0
AK,,Pilot Station,4.0
AK,,Platinum,0.0
AK,,Point Hope,3.0
AK,,Port Alexander,4.0
AK,,Port Heiden,0.0
AK,,Quinhagak,3.0
AK,,Ruby,0.0
